Id,User,Text,Date,Request 
"1308043017937457152","JACADCUA",""La libertad, Sancho, es uno de los más preciosos dones que a los hombres dieron los cielos: con ella no puede igualarse los tesoros que encierra la tierra, ni el mar encubre: por la libertad, así como por la honra, se puede y debe aventurar la vida." https://t.co/nlWdal0BcW","Mon Sep 21 15:58:52 CEST 2020","sancho"
"1308042984802463744","amazuE_","@itstolu_mehn @ManUtd Like say after he move,dortmornd go gree sell am😂😂 sancho never teach you say dem no rate manU?","Mon Sep 21 15:58:44 CEST 2020","sancho"
"1308042981019189252","MCRMUFC","RT @LawTop20: "Naturally this is all a lot more complex than it looks, and not only because there is a large extent to which, yes, Ed Woodw…","Mon Sep 21 15:58:43 CEST 2020","sancho"
"1308050747506950149","frankprotwin","RT @RyanAFournier: BREAKING: The Department of Justice has just labeled New York City, Portland And Seattle as ‘Anarchist Jurisdictions.’…","Mon Sep 21 16:29:35 CEST 2020","city"
"1308050747284750337","Madelin93642816","RT @nycsouthpaw: A couple years ago I might have expected “conservatives” to object to the federal government trying to exert control over…","Mon Sep 21 16:29:35 CEST 2020","city"
"1308050745745436679","Shellyc71","RT @RyanAFournier: BREAKING: The Department of Justice has just labeled New York City, Portland And Seattle as ‘Anarchist Jurisdictions.’…","Mon Sep 21 16:29:34 CEST 2020","city"
"1308050744738603008","PeggyKraft1","RT @JoyceWhiteVance: DOJ is threatening 3 American cities, all, coincidentally, led by Democrats, with shutting off unspecified federal fun…","Mon Sep 21 16:29:34 CEST 2020","city"
"1308050743463559168","pinodaisuki02","RT @osakacity_koho: 【消毒用アルコールの安全な取扱い等について】
消毒用アルコールを使用する機会が増えています。消毒用アルコールは火気により引火しやすく、発生する蒸気は可燃性で空気より重く低所に滞留しやすいため、火気の近くで使用しない、換気をするなど取り扱い…","Mon Sep 21 16:29:34 CEST 2020","city"
"1308050742868140032","xjamielister","The city centre is desolate 💀","Mon Sep 21 16:29:34 CEST 2020","city"
"1308050742385815553","CTZtime","@ETZtime Imagine fr caring about New York City. I'd bet not. @ETZtime","Mon Sep 21 16:29:34 CEST 2020","city"
"1308050742012506112","4rgrls","Broke: sanctuary city
Woke: migrant caravan 
Bespoke: anarchist jurisdiction https://t.co/U9DxziHkdd","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050741819518979","Moet_Marxist","If my dog is colorblind, how come she specifically eats the pink grass spray painted by the city workers? Checkmate, atheists.","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050741047689217","oideyo_kiyose","清瀬市でも 清瀬エール飯がはじまったよ。みんなで市内のお店でテイクアウトやデリバリーをしてハッシュタグを付けてシェアしよう！ https://t.co/yRNaAUCAgB #おいでよ清瀬","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050740670275584","lasonj","RT @JoyceWhiteVance: DOJ is threatening 3 American cities, all, coincidentally, led by Democrats, with shutting off unspecified federal fun…","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050740624138242","VitruvianMonkey","Ah yes, the famously lawless city where they tried to ban soda. https://t.co/I1VSGhSvxa","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050740569616384","CTZtime","@ETZtime Imagine actually caring about New York City. Not a single person. @ETZtime","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050739667890179","terrychristian","@aman1986 @blurt2kc Haven't we learnt anything sonce we sold Ronaldo for 80 million and spent 10 million replacing him with Valencia. Glazernomics has bee in action for ages. Up until signing of RVP united had a lower net spend since Glazer take over than Stoke City","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050739621748736","CTZtime","@ETZtime Imagine fr caring about New York City. I'd bet not. @ETZtime","Mon Sep 21 16:29:33 CEST 2020","city"
"1308050850812624897","khaylie_cer","Classic Facebook parin","Mon Sep 21 16:29:59 CEST 2020","cer"
"1308050841857855488","lolorubio42","RT @pacocatt: Los gatos de la calle tienen todo el derecho del mundo a la vida.
La solución para evitar sufrimientos inútiles es el método…","Mon Sep 21 16:29:57 CEST 2020","cer"
"1308050641499992064","pic_cer","RT @m0tify: ผู้เสียหายเชิญกรุ๊ปนี้นะค้าบๆๆๆๆๆ มีรวบรวมหลักฐานเพื่อไปแจ้งความค่ะ 🥺 https://t.co/ehGmdfBgQ0","Mon Sep 21 16:29:09 CEST 2020","cer"
"1308050566614937600","Syafiqhamzah14","geng kelantan cer rt sikit kalau knl dengan hiburan ni https://t.co/beu7Nyqv4I","Mon Sep 21 16:28:52 CEST 2020","cer"
"1308050550982754304","mentha_cer","RT @batsssu: 好奇心旺盛でマイペースなろしょ https://t.co/pjlrLf2Jlw","Mon Sep 21 16:28:48 CEST 2020","cer"
"1308050543710003206","isabelcarraco","RT @Luisinagh: Se inventan una mano negra para tapar al pichabrava pero se han pasado de cer la pruebas donde robamultas sí hace de mano ne…","Mon Sep 21 16:28:46 CEST 2020","cer"
"1308050521643610112","pic_cer","RT @thisispxwer: อ้าว สรุป หอมโอซาก้า เคยโกงมาก่อนแล้ว ตั้งแต่ปี2017 เคสการ์ดแท้จากโรงงานไม่ใช่เคสแรก ปังมาก #หอมโอซาก้าคืนเงินเต็มจำนวน","Mon Sep 21 16:28:41 CEST 2020","cer"
"1308050507525627904","mentha_cer","RT @_1885_: 私の中で敵がいなくなってしまったんだけど全員ハッピーエンドになることってある……？全然関係ない落書きです https://t.co/Eo1oiv5qyQ","Mon Sep 21 16:28:38 CEST 2020","cer"
"1308050492002414593","pic_cer","RT @PProud_bb: ((ไม่รู้ว่าจะมีคนอยากรู้ไหม แต่ไม่ปิดฟิคนะคะ ยังคงซัพน้องอยู่ ตอนนี้ที่ไม่ได้อัพเพราะเรียนหนัก ยังรักน้องเหมือนเดิม และถ้าอะ…","Mon Sep 21 16:28:34 CEST 2020","cer"
"1308050432313323523","aedlynn_","@billllllllllmy cer post nak tengok, send ko gewe boleh pulak","Mon Sep 21 16:28:20 CEST 2020","cer"
"1308050341280116736","crushcutter","พอร์ตมี cer 2 ใบ งง","Mon Sep 21 16:27:58 CEST 2020","cer"
"1308050327417974786","pic_cer","RT @cherishyu_: แก แล้วไม่ใช่ครั้งแรกที่เค้าขายการ์ดปลอมอ่ะ ตอนแรกยังมีความคิดที่ว่าเค้าอาจจะไม่รู้เว้ยอะไรงี้ แต่อันนี้แบบขายปลอมมาตั้งแต่…","Mon Sep 21 16:27:55 CEST 2020","cer"
"1308050318626828288","NicoleB28443699","RT @pacocatt: Los gatos de la calle tienen todo el derecho del mundo a la vida.
La solución para evitar sufrimientos inútiles es el método…","Mon Sep 21 16:27:53 CEST 2020","cer"
"1308050302877102082","pic_cer","RT @GiGam_7: ของเราน่าจะโดนฟิกเกอร์got7 และในกรุ้ปอีกมากมายไม่ได้เงินคืน บางคนก็โดนมี่บอมปลอม20แท่ง https://t.co/BwKNBTfG0H","Mon Sep 21 16:27:49 CEST 2020","cer"
"1308050295138791426","Beatriz96483180","RT @pacocatt: Los gatos de la calle tienen todo el derecho del mundo a la vida.
La solución para evitar sufrimientos inútiles es el método…","Mon Sep 21 16:27:47 CEST 2020","cer"
"1308051161346269185","tofubeats_bot","車乗って高速 FRIDAY 安全運転お願いね okadada!
(Come On Honey! feat.新井ひとみ(東京女子流) & okadada)","Mon Sep 21 16:31:13 CEST 2020","come on"
"1308051161111560194","Bird5515","The inside out mailman wearing his satchel just come to the location to collect the locations mail what are you reading it on your private time","Mon Sep 21 16:31:13 CEST 2020","come on"
"1308051160121696257","fatima_italia","RT @atensnut: He’s completely lost it....come on debates.","Mon Sep 21 16:31:13 CEST 2020","come on"
"1308051158246854656","Swervelildick","As soon as I move on here come this nigga once again","Mon Sep 21 16:31:13 CEST 2020","come on"
"1308051156250234881","kaisoIoaIbum","RT @Kjonginmoonface: Y'all come on! I need ur hard work for this. Please,im gonna cry. Please votee https://t.co/RemVcnktTT","Mon Sep 21 16:31:12 CEST 2020","come on"
